,Unnamed: 0,index,State,Pharmacy Name,Street Address 1 (physical store address),Street Address 2,City,Zip,Borough,county,location_lat,location_long,Location
0,0,0,Alaska,ANCHORAGE PIONEER'S HOME PHARMACY,923 W 11TH AVENUE,,ANCHORAGE,99501,Anchorage Borough,Anchorage Municipality,61.21174,-149.9002657778770,"923 W 11TH AVENUE, ANCHORAGE, Alaska, 99501"
1,1,1,Alaska,CARRS PHARMACY #1802,1340 Gambell St,,ANCHORAGE,99501,Anchorage Borough,Anchorage Municipality,61.2088911,-149.8716603,"1340 Gambell St, ANCHORAGE, Alaska, 99501"
2,2,2,Alaska,DEPARTMENT OF CORRECTIONS PHARMACY,550 W 7TH AVE.,,ANCHORAGE,99501,Anchorage Borough,Anchorage Municipality,61.21551651316470,-149.89247765306,"550 W 7TH AVE., ANCHORAGE, Alaska, 99501"
3,3,3,Alaska,CARRS PHARMACY #1812,4000 W Dimond Blvd,,ANCHORAGE,99502,Anchorage Borough,Anchorage Municipality,61.1365564,-149.9525434,"4000 W Dimond Blvd, ANCHORAGE, Alaska, 99502"
4,4,4,Alaska,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.177111,-149.879108,"4800 CORDOVA, ANCHORAGE, Alaska, 99503"
5,5,5,Alaska,ANCHORAGE NBHD HEALTH CENTER PHARMACY,4951 BUSINESS PARK BLVD,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.1748223029628,-149.8901811393230,"4951 BUSINESS PARK BLVD, ANCHORAGE, Alaska, 99503"
6,6,6,Alaska,WALGREENS #13656,725 E NORTHERN LIGHTS BLVD,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.195365,-149.87120453640300,"725 E NORTHERN LIGHTS BLVD, ANCHORAGE, Alaska, 99503"
7,7,7,Alaska,WALGREENS #15092,1470 W Northern Lights Blvd,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.19521518791950,-149.91202297315400,"1470 W Northern Lights Blvd, ANCHORAGE, Alaska, 99503"
8,8,8,Alaska,RELIANCE MEDSETS,1035 W. FIREWEED LN.,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.198916775510200,-149.90215391836700,"1035 W. FIREWEED LN., ANCHORAGE, Alaska, 99503"
9,9,9,Alaska,WAL-MART PHARMACY #10-2070,3101 A ST,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.1915049,-149.8788249,"3101 A ST, ANCHORAGE, Alaska, 99503"
10,10,10,Alaska,AMS Pharmacy,188 W. NORTHERN LIGHTS BLVD,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.19521,-149.88603399997500,"188 W. NORTHERN LIGHTS BLVD, ANCHORAGE, Alaska, 99503"
11,11,11,Alaska,Carrs Pharmacy #0720,2920 SEWARD HWY,,ANCHORAGE,99503,Anchorage Borough,Anchorage Municipality,61.19419054178250,-149.86768689648100,"2920 SEWARD HWY, ANCHORAGE, Alaska, 99503"
12,12,12,Alaska,FRED MEYER #00018,7701 DEBARR RD,,ANCHORAGE,99504,Anchorage Borough,Anchorage Municipality,61.20980956068640,-149.73830763756300,"7701 DEBARR RD, ANCHORAGE, Alaska, 99504"
13,13,13,Alaska,PROVIDENCE APOTHECARY,920 COMPASSION CIRCLE,,ANCHORAGE,99504,Anchorage Borough,Anchorage Municipality,,,"920 COMPASSION CIRCLE, ANCHORAGE, Alaska, 99504"
